id,type,RFSH_tid,RFSH_status,RFSH_good,RFSH_bad,RFSH_test_good,RFSH_test_bad
2921983,comment,1,good,"{""response_code"":200,""response"":""/var/folders/f7/nj7_1pc15mj0st_k9vyq2yl80000gn/T/tmp.Bg8IW2bt""}",,,
192327,job,3,good,"{""response_code"":200,""response"":""/var/folders/f7/nj7_1pc15mj0st_k9vyq2yl80000gn/T/tmp.w7ubGgIz""}",,,
121003,story,2,good,"{""response_code"":200,""response"":""/var/folders/f7/nj7_1pc15mj0st_k9vyq2yl80000gn/T/tmp.EM1YqKj9""}",,,
8863,story,0,good,"{""response_code"":200,""response"":""/var/folders/f7/nj7_1pc15mj0st_k9vyq2yl80000gn/T/tmp.F2K5b8S1""}",,,
126809,poll,4,good,"{""response_code"":200,""response"":""/var/folders/f7/nj7_1pc15mj0st_k9vyq2yl80000gn/T/tmp.HjgYiv7B""}",,,
8863,failed-story,5,bad,"{""response_code"":200,""response"":""/var/folders/f7/nj7_1pc15mj0st_k9vyq2yl80000gn/T/tmp.CaQvZT8u""}",,,"Test ""Type failed-story"" failed . Expect failed-story. Actual story.
exit status 1"
