0,RFSH_tid,RFSH_status,RFSH_good,RFSH_bad,RFSH_test_good,RFSH_test_bad,RFSH_export_file
1,0,good,"{""response_code"":200,""response"":""/var/folders/f7/nj7_1pc15mj0st_k9vyq2yl80000gn/T/tmp.62SVwaVm""}",,,,https://coffee.alexflipnote.dev/bbtKWclKYBA_coffee.jpg
2,1,good,"{""response_code"":200,""response"":""/var/folders/f7/nj7_1pc15mj0st_k9vyq2yl80000gn/T/tmp.arJ5jAa7""}",,,,https://coffee.alexflipnote.dev/2rx0qvZIhoY_coffee.jpg
3,2,good,"{""response_code"":200,""response"":""/var/folders/f7/nj7_1pc15mj0st_k9vyq2yl80000gn/T/tmp.ZPeCBGRc""}",,,,https://coffee.alexflipnote.dev/chNI8PrdPoA_coffee.jpg
4,3,good,"{""response_code"":200,""response"":""/var/folders/f7/nj7_1pc15mj0st_k9vyq2yl80000gn/T/tmp.tfcmeCin""}",,,,https://coffee.alexflipnote.dev/JLd6jwQI9ic_coffee.jpg
5,4,good,"{""response_code"":200,""response"":""/var/folders/f7/nj7_1pc15mj0st_k9vyq2yl80000gn/T/tmp.icVe1UJ9""}",,,,https://coffee.alexflipnote.dev/SnBkdb5F9-o_coffee.jpg
